label,text
negativo,@dannapaola @yuyacst @pulmonarios @cindylaregia @Karmuncol  me ayudan con un retweet please o a difundir!! Es una muy buena causa!!!👆🏼👆🏼
positivo,Que boni yuyi 😍♥️@yuyacst https://t.co/vrhofDadp2
positivo,"Neta no saben como amo las instagram stories de @yuyacst es la más bonita, literal me la paso riendo💕 jaja"
positivo,Yaaa quiero videooo @yuyacst
negativo,@yuyacst :(
negativo,"@yuyacst Cómo comparar a unos perros, con bebés!"
negativo,@yuyacst Si y sueño 😴
negativo,"@yuyacst  Hola yuya  mira mi esposa esta preocupada x que no habías subido vídeos y me pidió q te siguiera en Twitter, espera que estés bien"
positivo,"Estoy loca de amor por esta mujer, la amo tanto y a su shampoo también. @yuyacst 💖 https://t.co/et15uMti6Y"
positivo,Jajaa @yuyacst te amo 💕💕💕💕🌸🌸🌸😂🙊 https://t.co/7dt5mURI1o
positivo,"@yuyacst te extraño y amo mucho, si? No lo olvides por fa"
negativo,@uggzo @yuyacst @PaoPoulain *Todo su closet*
positivo,"Que bonito se siente escucharte decir mi nombre, se me enchina la piel❤️ @yuyacst https://t.co/z7dtpkTq5b"
positivo,@yuyacst te quiero más de lo que te puedes imaginar.
positivo,Conversación entre amigas y derrepente STOP Amigas IG de @yuyacst 🙀😻. Ya te estaba echando de menos por ahí hermosa. ♥️
positivo,Te amo @yuyacst ❤️.
negativo,11:12 @yuyacst
negativo,@yuyacst https://t.co/wmuAUmlOJG
negativo,@yuyacst losiento espero que esten super bn
negativo,"@yuyacst Los perros son animales irracionales... y los hijos son seres humanos racionales, y no existe punto de comparación entre ambos!!"
positivo,"Problemas para dormir? 😴 Solo necesitas manzanilla, menta y un poco de miel, consejo de @yuyacst en Facebook!… https://t.co/u5knIANyMD"
negativo,@yuyacst Me pasa con mis 15 perros. Y ano sé si reír o llorar.😂💔
positivo,"@uggzo @yuyacst @PaoPoulain Le regalo la ropa que ya no utiliza, para que le siga poniendo ganas a eso de querer ser como ella"
positivo,Aaaaw extraño a @yuyacst me di cuenta que es la única que da buenas vibras!! y buena energías
negativo,@YuyaArgentina @yuyacst Que????😕✌👀
positivo,"Ya te extrañaba en Ig, eres la más hermosa🙊 Te quiero mucho❤ @yuyacst https://t.co/3M7eDmYBtO"
positivo,@yuyacst Tu ojo ♥️😂 https://t.co/gKMZZKKVUZ
negativo,@uggzo @yuyacst @PaoPoulain La ropa q ya usó
positivo,Te extrañé en las historias💞 @yuyacst https://t.co/kyRU3IIg1B
positivo,"@yuyacst Esto es como encontrar oro, muy pocas veces veo publicidad, hoy inclusive vi una propaganda en tv 😄 https://t.co/gtjxbsFvMa"
negativo,"@yuyacst me engañaste, dijiste que solo ardía un poquito😑"
positivo,@yuyacst RECUERDEN VOTAR!!! POR @yuyacst que está nomidana en 5 categorías en los premios @Revista_TU VOTEN!!… https://t.co/vTkMvVqdYq
positivo,Cuando queres explicar un nivel tremendo 😂😍 @yuyacst https://t.co/8fFsqsIm0x
negativo,@yuyacst Yuyita no te olvides de Tepalcingo Morelos https://t.co/X7hjz7cNLD
negativo,Yahoo respuestas 😂😂😂 @yuyacst
positivo,Soy fan de las historias en Instagram de @yuyacst y no me da vergüenza decirlo 🤓
positivo,@yuyacst tan bonita siempre tú.
negativo,Para ustedes!!! @GermanGarmendia @vegetta777 @yuyacst @werevertumorro @enchufetv (Espero y lo vean) (se que nunca lo verán) :'v
negativo,"Cuandl fui a cuernavaca, tenia la esperanza de toparme a @yuyacst  :("
negativo,"@yuyacst Si es agresiva, territorial y no esta castrada lo + probable es qe sea por eso, las perras se ponen muy ho… https://t.co/FyCDrGOxXL"
positivo,@yuyacst Yuya volve a youtube!!! te extraño
negativo,"@yuyacst Yuya castra a concha, eso va bajae su temperamento y sobre todo va hacer que no sea territorial con otros perros"
positivo,"Vi este fondo y rápidamente me acordé de ti, te quiero❤ @yuyacst https://t.co/woEhspTbsS"
negativo,Esta es la cara de César Millán escuchando los problemas que tiene conchita 😂🐶 @yuyacst https://t.co/8zMDru9PVR
negativo,Mis 4 estados de ánimo durante todo el día @yuyacst . https://t.co/ms1QhTbkYC
positivo,@adriana_vlza @yuyacst Está bien hermosa de mas😭😍❤️
negativo,JAJAJAJA TOOOOPPPP @yuyacst https://t.co/F9fRG993Rb
positivo,@celinegarcia2 @yuyacst Acabo de ver esa historia y no inventes pensé lo mismo que tú se pasa 😍😍😍❤
positivo,"Extrañaba tanto las historias de instagram de platica intensa de @yuyacst, lo juro😭❤️"
negativo,"@yuyacst seguro Concha se ""enamoro"" y es por eso que anda tan loca. A mi perra le pasó lo mismo y andaba destrozando todo"
negativo,@yuyacst 💖🐼🌟 https://t.co/78VTUrJYUy
positivo,⚠GRANDES NOTICIAS⚠ Nuestra bebé volverá con los vídeos!.😍 Ya te extrañabamos @yuyacst .😭 https://t.co/0qzqR6Adjw
positivo,Que mujeron @yuyacst https://t.co/etV2fiNR7V
positivo,Te entendemos pero te extrañábamos con los videos @yuyacst mañana te tenemos de regreso! 💕😍
positivo,Semana tres y estoy falleciendo sin video de @yuyacst
negativo,@yuyacst por qué hasta noviembre?😰
negativo,@BreenDLP @yuyacst Hahahahajajaja
positivo,Extraño ya los vídeos de @yuyacst  😢
negativo,@mf_silvestre @CesarTeo @yuyacst @Ricardo_Peralta @gissellekuri @chportocarrero @nathcampost @MarioPPineda… https://t.co/WfuYHKEBnd
negativo,"@IrmaPadillasua1 @yuyacst No sé si te malinterpreté, pero estas siendo arrogante"
positivo,"@KarlaWonk @yuyacst Y para insultar o juzgar no debes dejar este tipo de comentarios, ella quiere ayudar y la haces sentir mal"
negativo,"@KarlaWonk @yuyacst La verdad es que tampoco la conozco mucho(me suscribí a su canal, pero no la miro) pero desde m… https://t.co/fahgDCB6KP"
positivo,"@KarlaWonk @yuyacst Lo siento, no quiero ser grosera, pero.... Tu no conoces A Yuya como para decir eso"
negativo,"@CHESGAR_ADRIAN @yuyacst Es igual, es igual, las 2 están llenas de chancros y sífilis."
negativo,Oye @yuyacst para cuando un tutorial de como instalar una estufa al gas de tubería?
positivo,@yuyacst Los amo tanto enserio enserio😍
negativo,@AXIOKRIA @NessPepete @yuyacst @SedalMexico cualquier parecido con la realidad.... 😆😆  Noooo espera... Yuya??? Tuuuu???  - 😑 🔫
negativo,@uggzo @yuyacst @PaoPoulain Lo peor que vi hoy 🤢 https://t.co/QXpsYkmnRo
positivo,Voten por @betopasillas y @yuyacst 😍🙌❤🍕 @yuyacst esta nominada en 5 categorías :3❤🙌😍 #LaParejitaMasCute   https://t.co/bUifIj2VB4
negativo,@miriam_mancilla @Ctda01 @PaoPoulain @yuyacst Y Paola se ve súper ñoña alv
negativo,@yuyacst @MarialeOficial https://t.co/ozw1mWjUad Importante compartir
negativo,@PPTeamRafa @yuyacst @YouTubeMexico https://t.co/ozw1mWjUad Importante compartir
negativo,"@gabybahena2 @uggzo @yuyacst @PaoPoulain JAJAJAJA Y SI QUE LA NECESITA, regalos bergas"
negativo,@ElJuanpaZurita @yuyacst difundir ❤️🙏🏽
positivo,@yuyacst Serías una excelente mami 😍❤️
negativo,@Valee_Bo1 @yuyacst JAJAJA ustedes por qué siempre buscan que me metan a la cárcel? Ya casi soy legal y Pa salir de… https://t.co/mt1LzIl3nN
negativo,@yuyacst ¿Entonces que? Nos das cuarto o qué https://t.co/JX7Cb2kgFe
negativo,@uggzo @yuyacst @PaoPoulain Una foto autografiada y su shampoo 😂😂😂
negativo,@gabybahena2 @uggzo @yuyacst @PaoPoulain Y si sirven o que pedo? 😂😂😂
negativo,@laletyjoy @yuyacst @callodehacha ¿Y tú como puedes ayudar?🤔
negativo,@yuyacst si yuya ay q ayudar alos q mas necesitan no creen....😊😊🌹🌈
positivo,@yuyacst me encantas 💕
positivo,@yuyacst  ¡Te Extraño! 😭 https://t.co/RGSUNXsLDV
negativo,"@Malaaquita03 @PaoPoulain @yuyacst A parte de su falta de ortografía, todo lo habla en diminutivo"
negativo,@gabybahena2 @uggzo @yuyacst @PaoPoulain Ni con una de esas puede ocultar la enorme joroba que se carga.😂😂
positivo,@yuyacst Te admiró sos grande❤😍
positivo,@yuyacst Te amo❤
positivo,@yuyacst I love you!!!
positivo,@yuyacst ¿Dónde estas cuando necesito un tutorial para hacer una maqueta de cerebro? Pregunta seria. ☹️💔
negativo,"@uggzo @yuyacst @PaoPoulain Jajajaja, Manita"
negativo,@yuyacst Que feo y en su condición están miles de niños más
positivo,@yuyacst  Te Amo Preciosa 🌹
positivo,@yuyacst Holaaa
negativo,@yuyacst .... https://t.co/L682CD3T3A
negativo,@DebRyanShow Haciendo el #RetoDelSemen con @yuyacst 😂😂✋🏼 solo digo :v
negativo,@burritasabia @yuyacst @belindapop @_stephhr @ralexmegu @mariegalart
negativo,@uggzo @yuyacst @PaoPoulain Su shampoo para que le salga caspa
negativo,@uggzo @yuyacst @PaoPoulain Le dio al chilaquil no puede pedir otro mejor regalo que ese
negativo,@uggzo @yuyacst @PaoPoulain Una vida!
negativo,@uggzo @yuyacst @PaoPoulain Su ropa que ya no usa pero que ya se tomó fotos con ella 😂😂
negativo,@uggzo @yuyacst @PaoPoulain Su ropa para que ahora si sea yuya
negativo,@yuyacst Y q les llevaste para ayudarlos. Aparte de enviar su fotografia.
positivo,@yuyacst Enséñanos a hacer un atrapasueños 💚 #Porfis
negativo,@uggzo @yuyacst @PaoPoulain Le regaló toda su ropa de la temporada pasa. La que ya no va a usar
negativo,@uggzo @yuyacst @PaoPoulain 😂😂😂😂 creo que no le dio ni una sola riata que feo que sea así jajaja
negativo,"@uggzo @yuyacst @PaoPoulain A @yuyacst le llueven las felicitaciones en las redes,a la Jorobas con trabajos… https://t.co/QnAx9SVZfV"
negativo,@uggzo @yuyacst @PaoPoulain  https://t.co/B2YxQ7bv03
negativo,@uggzo @yuyacst @PaoPoulain La aldea de los pitufos
negativo,@uggzo @yuyacst @PaoPoulain Lo último de su ropa vieja más la que le dio todo el año @PaoPoulain
negativo,"@uggzo @yuyacst @PaoPoulain Quiso regalarle dignidad pero para @PaoPoulain no vale nada, así que decidió regalarle… https://t.co/4G1o08gnqZ"
positivo,@werevertumorro A @yuyacst  💖
positivo,@uggzo @yuyacst @PaoPoulain Un libro de pasos para ser yuya xdxd
negativo,@uggzo @yuyacst @PaoPoulain Le regaló un shampoo para que ya no se lo robe cada vez que va a su casa
negativo,@uggzo @yuyacst @PaoPoulain En Twitter nadie la felicito😂
negativo,@uggzo @yuyacst @PaoPoulain Le dio Un día mas para darse cuenta que no es yuya jajaja
negativo,@gabybahena2 @uggzo @yuyacst @PaoPoulain Jajajajajajaja no mamen 😂😂😂 si la Pao se para bien erguida 😂
negativo,@uggzo @yuyacst @PaoPoulain Un Giveaway
negativo,@uggzo @yuyacst @PaoPoulain Consejos para vestirse diferente y así deje de imitarla 😂😂😂
negativo,@SoyElManotas @uggzo @yuyacst @PaoPoulain Una cirugia plástica para parecerse más a @yuyacst
negativo,@uggzo @yuyacst @PaoPoulain Le dio la ropa que ya no se ponía
Positivo,@uggzo @yuyacst @PaoPoulain Que le regale poquita belleza😏
Negativo,@uggzo @yuyacst @PaoPoulain Ojalá de regalo le haya dado un poco de dignidad. Esperemos así aprenda a ser ella misma.
Positivo,@uggzo @yuyacst @PaoPoulain Manual para ser yuya for Dummies jaja
Positivo,@uggzo @yuyacst @PaoPoulain le regaló su ropa vieja para que le copie más outfits :v
negativo,@uggzo @yuyacst @PaoPoulain Un álbum con sus fotos para que tenga más outfits.
Negativo,@uggzo @yuyacst @PaoPoulain Una mentada de madre ALV
negativo,@uggzo @yuyacst @PaoPoulain Su shampoo
negativo,@uggzo @yuyacst @PaoPoulain Ya le regalo ropa durante todo el año no?
Negativo,"@uggzo @yuyacst @PaoPoulain Le regaló una vida, a ver si así deja de copiar la de ella"
Positivo,@uggzo @yuyacst @PaoPoulain Le regaló una de estas 😂😂 https://t.co/vKmXc4s3hE
Negativo,@uggzo @yuyacst @PaoPoulain Que no te importe puto joto
negativo,"Amiga @yuyacst ayer fue el cumpleaños de tu cuñada favorita @PaoPoulain, ¿Qué le regalaste? Cuéntanos manita."
Positivo,@yuyacst @M_carolinaD besitos.  Llegué bien
Positivo,@yuyacst Aún tienen su centro de acopio?
negativo,Y ustedes @ov7oficial @yuyacst @EPN @RhGigante @7ElevenMexico @Tiendas_OXXO @PriceShoes @TheHomeDepotMx @CocaColaMx… https://t.co/R3fNVffJbs
Positivo,@yuyacst @yuyacst muy bonito sigue a si
Negativo,@AXIOKRIA @yuyacst @SedalMexico A Nury Jimenez (youtuber) le pasó lo mismo 😐😐😐
negativo,@Rubiu5 @GermanGarmendia @mangelrogel @ladivaza @aLexBY11 @auronplay @YellowMellowMG @CelopanYT @dosogas @LuzuGames @yuyacst 11:11
negativo,@FacuFernandez53 .@yuyacst Necesitamos algunas respuestas aquí.
Positivo,@yuyacst pero aun asi los amamos 😍😍😍😍
negativo,"@yuyacst SOMOS ALUMNOS DE LA FCPYS UNAM,BRINDAMOS AYUDA POR EL SISMO PERO NECESITAMOS FINANCIAMIENTO, EN TODAS LAS ESFERAS, AYUDAA"
Positivo,"Hola! @yuyacst nos ayudarías dando RT a este post, es una campaña crowdfunding para las comunidades afectadas por e… https://t.co/iAN9tCIzgK"
Negativo,"@AXIOKRIA @muso98_ @yuyacst @SedalMexico Deja el mame, el shampoo no es para tu tipo de pelo, solo deja de usarlo y todo sera como antes."
negativo,@ElJuanpaZurita @liverpoolmexico  @SedalMexico  @yuyacst  @LanaDelRey  v:
negativo,@yuyacst Nadie más que yo.
Positivo,@yuyacst Toda tu Yuya eres hermosa
negativo,"@AXIOKRIA @yuyacst @SedalMexico A mi me funciona súper bien, sobre todo él acondicionador y la crema para peinar, m… https://t.co/VQAnwLEJqi"
negativo,@LuisitoComunica @maya_lopz @yuyacst https://t.co/1DIniX22fK
Positivo,"@yuyacst Hola yuya , podrías apoyarnos a compartir este centro de acopio que esta al sur de la cuidad, te lo agradeceríamos mucho!"
Positivo,Anoche soñé con @yuyacst y @betopasillas y fue tan bonito 😍😍😍😍
Positivo,Eres hermosa. 💕 @yuyacst https://t.co/CLCyJwI3r9
negativo,@yuyacst Si todos hacemos despensas con los productos básicos y los entregamos personalmente a las   personas nesecitadas sería muy bueno
negativo,@México Vamos México hay levantarse y reconstruír #México unidos @livingdisrobed @yuyacst @BeautyJunkiesMX https://t.co/bIqZhS2yeN
negativo,@SedalMexico @yuyacst Ya tienen la nueva fecha para presentarse yuya en monterrey?
Negativo,"@yuyacst @callodehacha Bueno ¿y? Aprovecha tu audiencia y showcito para ayudar de alguna forma, no sólo te cuelgues de la desgracia."
Positivo,@SrPavia @yuyacst Con todoooo 👀
Positivo,Oye @yuyacst te quiero❤️
negativo,@MyloBrizuela @CaELiKe @yuyacst @Cajafresca @TubeRadio985 RT al tweet original es urgente y precaria la situación https://t.co/Sazs3LQxMs
negativo,Amigos https://t.co/KqgWGcD2oL Este vídeo dedicado a @ESCORPIONGOLDEN @yuyacst @GermanGarmendia @AndresNavyz @Mexivergas @ElJuanpaZurita rt
negativo,"@maiae_ @ChumelTorres @dannapaola @PrinceRoyce @RafaelCabaliere @ponchohd @yuyacst Hola, ¿Podrían darle compartir?… https://t.co/N6IFFrWlje"
Positivo,@yuyacst te quiero mucho 💕
negativo,@Rubiu5 @GermanGarmendia @mangelrogel @ladivaza @aLexBY11 @auronplay @YellowMellowMG @CelopanYT @dosogas @LuzuGames @yuyacst 00:00
negativo,@yuyacst @AlejoIgoa  xfabor
Positivo,@yuyacst Que bonita eres.💕 @yuyacst
Positivo,"@yuyacst  Hasta que al fin hoyy llegó a mi ciudad!  La más emocionada, no tienes idea yuyita! Feliz por tus logros!… https://t.co/QytdbDn2yy"
negativo,@ArelyTellez @gabyramiirezz @HmGerardo @hm @JuanBertheau @betopasillas @yuyacst @ElJuanpaZurita Tenemos que ayudar… https://t.co/Fu6ZkDdzbU
negativo,@KarmenRoblez @AXIOKRIA @yuyacst @SedalMexico GGG ;3
Positivo,@Unibloo @AXIOKRIA @yuyacst @SedalMexico 😂😂😂 neta que risa
negativo,@KarmenRoblez @AXIOKRIA @yuyacst @SedalMexico Peor le dicen a EPN no se anda quejando 😂😂😂
Negativo,"@Unibloo @AXIOKRIA @yuyacst @SedalMexico Platica de mujeres, no se ria! 😂"
Positivo,"@yuyacst te quiero muchísimo, la labor que haces es increíble, eres alguien admirable, ten una linda noche. 💕✨"
negativo,@yuyacst @joe_trouble  ahí te hablan Todo tú
negativo,@yuyacst Hola yuya como estas
Negativo,@VomitoAnal @yuyacst @Tixi_tixtix Pues ponte con una lana
Positivo,@yuyacst @betopasillas @dosogas @serch_pr ayuden para la recolección de hogares para los afectados❤️#LoveArmyMexico @ElJuanpaZurita
negativo,@yuyacst  haciendo tutoriales en el año 2067 https://t.co/wImZIuQFwp
negativo,@yuyacst Y esta llueve y llueve...
negativo,@ElJuanpaZurita @yuyacst @betopasillas  @MarianaaBonilla  @LoganPaul  @PPTeamKaren  @PPTeamLesslie  @PPTeamRafa  @iTunes
negativo,@ElJuanpaZurita @yuyacst @PPTeamRafa @PPTeamLesslie @PPTeamKaren #LoveArmyMexico
negativo,@yuyacst qlito. :v
negativo,@yuyacst Mariand
Positivo,@yuyacst Los amo
negativo,@AXIOKRIA @yuyacst @SedalMexico 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
Positivo,Hola te amo y te extraño mucho @yuyacst x2 https://t.co/RSMbgLmhOt
negativo,@yuyacst Hola
Positivo,Hola te amo y extraño mucho @yuyacst
Positivo,Saca más tutoriales de peinados @yuyacst estoy pelona y no se q hacer 😫😫
Negativo,@abuelataty @Grafocafe @OphCourse @yuyacst @ServicioAgencia La info es de hace 6 días. Evidentemente ya cambió la info
negativo,@yuyacst Hola tuya
Positivo,@yuyacst Por favor danos la dirección exacta para poder llevarle directamente ayuda a esta familia
negativo,Aun no lo puedo creer que lo tenga desde que dijiste que iban a venir a Perú los estuve esperando.  @yuyacst  Salud… https://t.co/NXhyLkdQYg
negativo,@FredOleaPi @Grafocafe @OphCourse @yuyacst @ServicioAgencia Les falta agregar asan Dionisio del mar  Oaxaca
Positivo,@yuyacst Te quier
Positivo,@yuyacst Todo yo😳❤️😘
Positivo,Por finnnn se me hará probarlo. 🙌🏻🍃🌸🌻 @yuyacst https://t.co/ipt6eVe569
Positivo,@yuyacst Excelente yuya dios los bendiga y hagan esas entregas directas a nuestro pueblo
Positivo,"@yuyacst Por cierto, hacen linda pareja beto y tu"
negativo,@yuyacst Al rato paola va a querer tuitear lo mismo con fichis
negativo,@urbandfive @AdelineMx @HeffronDrive @jamesmaslow @SebasMendezMX @edsheeran @adriana4853 @yuyacst @CaELiKe… https://t.co/Tn7byda1JD
Negativo,@yuyacst Ayuda a esa guapura no??? Da algo de tus billetes no seas coda!!
Negativo,@AXIOKRIA @yuyacst @SedalMexico pero es algo de lo que siempre eh sufrido.
negativo,@AXIOKRIA @yuyacst @SedalMexico igual me imagino que tiene que ver con la sensibilidad del cuero cabelludo mi cabel… https://t.co/CgJx4C0hf5
Positivo,@yuyacst Siempre ustedes ❤❤😍 .
Positivo,@yuyacst Para mi amor
negativo,@Xibere @ElJuanpaZurita @yuyacst @CesarTeo @gissellekuri @chportocarrero @nathcampost @zantyferry @SoyHomosensual… https://t.co/cr9mBidiGa
negativo,@mf_silvestre @ElJuanpaZurita @yuyacst @CesarTeo @gissellekuri @chportocarrero @nathcampost @zantyferry… https://t.co/XnnYayoyce
negativo,@Alethecat_ @yuyacst @SedalMexico No lo ocupe diario... Seguí las indicaciones de la marca!
Positivo,Desde cuando @yuyacst sale en la tele? https://t.co/4BHNlEheEO
Negativo,@yuyacst 😣 Como el chavo. Todo yo 😠 todo yo 😠 diria el chavo: ¿ Alguien que no sea yo? 😏
negativo,"@AXIOKRIA @yuyacst @SedalMexico ajajajaja me paso lo mismo, creo que por lo mismo que es detox no se debe ocupar diario."
negativo,@Familia_Guapura @yuyacst @Sergecast 😭😍
negativo,@ChumelTorres @yuyacst magnate Yuya
Positivo,El mejor youtuber @PlaticaPolinesi @yuyacst @PPTeamRafa @PPTeamKaren @PPTeamLesslie
negativo,@calleypocheoffi @villalobossebas @Soymarioruiz @AnasoClash @lelepons @dosogas @yuyacst @mathisellanes… https://t.co/2qfhL1Af4e
Positivo,Entrar a YouTube y encontrarte con esta sorpresa❤ @yuyacst @yuyacst https://t.co/BvGyVCp67G
Positivo,Wow súper doblaje @nemoaponte . Ahí los mencionan @yuyacst @ESCORPIONGOLDEN @ElJuanpaZurita 😂#youtubers https://t.co/uQ3k9P7rOF
Positivo,preparate cuando ande cursi ahr @yuyacst https://t.co/QqEp3Ewz2g
Positivo,@yuyacst Tú lo eras todo.
Negativo,@yuyacst Sólo yo☹
negativo,@ElJuanpaZurita @yuyacst @betopasillas
negativo,@yuyacst  https://t.co/uOgffp0M4w
negativo,@ElJuanpaZurita @monlaferte @RioRomamx @yuyacst @RenoRojas ÚNANSE 🙏🏼🙏🏼
negativo,@yuyacst #mexicotequiero https://t.co/Y2gUJo5Wx4
negativo,@yuyacst Los niños son la mayor bendicion de dios yel mayor horgullo de una madre
negativo,@AXIOKRIA @yuyacst @SedalMexico jajajaja a mi tampoco me funcionó jajajaja me sacó caspa y me resecó el cuero cabel… https://t.co/qcmsiolM1U
negativo,@lopezdoriga @yuyacst  https://t.co/Ez3vndgYi4
Negativo,"@yuyacst @callodehacha ""Mira esa familia lo perdió todo, ¡LOS AYUDA...nah mejor subiré su foto a Twitter."" -Yuya."
Positivo,@yuyacst Me hace feliz❤️.
negativo,#mother @yuyacst https://t.co/xNUXR854T8
negativo,@NewsweekEspanol @yuyacst @DieAlfaro @warkentin @ursulapruneda @apchavira @iliacalderon @malamadremx Suficiente para PADRE NUESTRO y CREDO
negativo,@NewsweekEspanol @yuyacst @DieAlfaro @warkentin @ursulapruneda @apchavira @iliacalderon @malamadremx Ser CLARO y CONCISO es lo que atrae !!
Negativo,@yuyacst @Sergecast ☹️☹️☹️☹️💔 https://t.co/LToRcgP13g
negativo,@AXIOKRIA @yuyacst @SedalMexico A mi me funciona por que el mío es chino y super alborotado y con esa queda bonis.
Negativo,@AXIOKRIA @ladygagapoledan @yuyacst @SedalMexico Tranquila chica. Yo lo dije sarcasticamente...sólo olvidé poner al… https://t.co/d6LGJh4RaV
negativo,Vamo a probar el shampoo de @yuyacst https://t.co/4M81MHVQ6r
Positivo,@yuyacst @yuyacst  en él mejor momento de tu vida llegaran y serán hermosos
negativo,"@muso98_ @yuyacst @SedalMexico A mí eso no, solo la resequedad y por consecuencia la comezón! La verdad no sé si ah… https://t.co/2mUKCe7oSp"
negativo,@phiizz @yuyacst @SedalMexico Nunca uso crema para peinar ya que mi cabello es sumamente dócil!
Negativo,@yuyacst me parte el corazón😞💔.
negativo,@ladygagapoledan @NatalyGlass @yuyacst @SedalMexico Como si yo hubiera atacado a la yuyis! Solo dije lo que me pasa… https://t.co/Exkv4jA2fs
negativo,@NewsweekEspanol @yuyacst @DieAlfaro @warkentin @ursulapruneda @apchavira @iliacalderon @malamadremx Nee es buen re… https://t.co/t72CsxryNH
negativo,@yuyacst Hola como estas espero que nos conozcamos
negativo,@yuyacst Yo done medicina 😩 me dió mucha tristeza
negativo,@AXIOKRIA @yuyacst @SedalMexico Pero la crema para peinar es una maravilla. :3
Positivo,@yuyacst Que lindos son 😍
negativo,"@AXIOKRIA @yuyacst @SedalMexico A mi también me ha picado mucho la cabeza, jamás había sido alguien con caspa hasta… https://t.co/t0qS4LFmHa"
negativo,¡2 MILLONES SOMOS! AJUA AJUA  ♥ -Yuya @yuyacst ¿Qué sucede si en pleno 2017 aún me acuerdo de esta canción? 😍💕 https://t.co/qv4XJZwhST
Positivo,@yuyacst ¡Te amo Yuyita!
Negativo,"@NatalyGlass @AXIOKRIA @yuyacst @SedalMexico ""Piojosa tienes la cabeza"" JAJAJAJAJA bendita gente sin comprensión ni sentido común 😂😂 🐶🐻"
negativo,@GottaGetOutt @yuyacst Yuya desbloque a mi amix plox no ves q sufre mucho
Negativo,@muso98_ @AXIOKRIA @yuyacst @SedalMexico Lo mismo! 😔 Qué triste 😪
negativo,@yuyacst #Colombia  #KikaNieto
Positivo,@yuyacst Ayy yuyita de mama no manches serias a mejorr
negativo,@Intothecaro_ @yuyacst Preguntale
negativo,@AXIOKRIA @yuyacst @SedalMexico A mi me ha hecho que se me caiga mucho cabello 🤔😔😐
negativo,@yuyacst @GottaGetOutt cuando te va a desbloquiar la gran yuya loca ?
Negativo,Orgullosa me queda corto @yuyacst
